timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-03-23,158.83,161.5501,157.68,158.93,158.93,67622060,0.0000,1.0
2023-03-22,159.3,162.14,157.81,157.83,157.83,75701811,0.0000,1.0
2023-03-21,157.32,159.4,156.54,159.28,159.28,73938285,0.0000,1.0
2023-03-20,155.07,157.82,154.15,157.4,157.4,73641415,0.0000,1.0
2023-03-17,156.08,156.74,154.28,155.0,155.0,98944633,0.0000,1.0
2023-03-16,152.16,156.46,151.64,155.85,155.85,76254419,0.0000,1.0
2023-03-15,151.19,153.245,149.92,152.99,152.99,77167866,0.0000,1.0
2023-03-14,151.28,153.4,150.1,152.59,152.59,73695893,0.0000,1.0
2023-03-13,147.805,153.14,147.7,150.47,150.47,84457122,0.0000,1.0
2023-03-10,150.21,150.94,147.6096,148.5,148.5,68572400,0.0000,1.0
2023-03-09,153.559,154.535,150.225,150.59,150.59,53833582,0.0000,1.0
2023-03-08,152.81,153.47,151.83,152.87,152.87,47204791,0.0000,1.0
2023-03-07,153.7,154.0299,151.13,151.6,151.6,56182028,0.0000,1.0
2023-03-06,153.785,156.3,153.46,153.83,153.83,87558028,0.0000,1.0
2023-03-03,148.045,151.11,147.33,151.03,151.03,70732297,0.0000,1.0
2023-03-02,144.38,146.71,143.9,145.91,145.91,52279761,0.0000,1.0
2023-03-01,146.83,147.2285,145.01,145.31,145.31,55478991,0.0000,1.0
2023-02-28,147.05,149.08,146.83,147.41,147.41,50546998,0.0000,1.0
2023-02-27,147.71,149.17,147.45,147.92,147.92,44998470,0.0000,1.0
2023-02-24,147.11,147.19,145.7202,146.71,146.71,55469606,0.0000,1.0
2023-02-23,150.09,150.34,147.24,149.4,149.4,48394249,0.0000,1.0
2023-02-22,148.87,149.95,147.16,148.91,148.91,51011305,0.0000,1.0
2023-02-21,150.2,151.3,148.405,148.48,148.48,58867230,0.0000,1.0
2023-02-17,152.35,153.0,150.85,152.55,152.55,59144118,0.0000,1.0
2023-02-16,153.51,156.33,153.3475,153.71,153.71,68167942,0.0000,1.0
2023-02-15,153.11,155.5,152.88,155.33,155.33,65669252,0.0000,1.0
2023-02-14,152.12,153.77,150.86,153.2,153.2,61707573,0.0000,1.0
2023-02-13,150.952,154.26,150.92,153.85,153.85,62199013,0.0000,1.0
2023-02-10,149.46,151.3401,149.22,151.01,151.01,57450708,0.2300,1.0
2023-02-09,153.775,154.33,150.42,150.87,150.64056268183,56007143,0.0000,1.0
2023-02-08,153.88,154.58,151.168,151.92,151.688965882042,64120079,0.0000,1.0
2023-02-07,150.64,155.23,150.64,154.65,154.414814202592,83322551,0.0000,1.0
2023-02-06,152.575,153.1,150.78,151.73,151.499254826765,69858306,0.0000,1.0
2023-02-03,148.03,157.38,147.83,154.5,154.265042316847,154357337,0.0000,1.0
2023-02-02,148.9,151.18,148.17,150.82,150.590638719915,118338980,0.0000,1.0
2023-02-01,143.97,146.61,141.32,145.43,145.208835625496,77663633,0.0000,1.0
2023-01-31,142.7,144.34,142.28,144.29,144.070569293838,65874459,0.0000,1.0
2023-01-30,144.955,145.55,142.85,143.0,142.782531076435,64015274,0.0000,1.0
2023-01-27,143.155,147.23,143.08,145.93,145.708075244644,70555843,0.0000,1.0
2023-01-26,143.17,144.25,141.9,143.96,143.7410711452,54105068,0.0000,1.0
2023-01-25,140.89,142.43,138.81,141.86,141.644264744777,65799349,0.0000,1.0
2023-01-24,140.305,143.16,140.3,142.53,142.313245834435,66435142,0.0000,1.0
2023-01-23,138.12,143.315,137.9,141.11,140.895405316054,81760313,0.0000,1.0
2023-01-20,135.28,138.02,134.22,137.87,137.660332583973,80223626,0.0000,1.0
2023-01-19,134.08,136.25,133.77,135.27,135.064286564401,58280413,0.0000,1.0
2023-01-18,136.815,138.61,135.03,135.21,135.004377810103,69672800,0.0000,1.0
2023-01-17,134.83,137.29,134.13,135.94,135.73326765406,63646627,0.0000,1.0
2023-01-13,132.03,134.92,131.66,134.76,134.55506215287,57809719,0.0000,1.0
2023-01-12,133.88,134.26,131.44,133.41,133.207115181169,71379648,0.0000,1.0
2023-01-11,131.25,133.51,130.46,133.49,133.286993520233,69458949,0.0000,1.0
2023-01-10,130.26,131.2636,128.12,130.73,130.531190822534,63896155,0.0000,1.0
2023-01-09,130.465,133.41,129.89,130.15,129.952072864322,70790813,0.0000,1.0
2023-01-06,126.01,130.29,124.89,129.62,129.422878868024,87754715,0.0000,1.0
2023-01-05,127.13,127.77,124.76,125.02,124.829874371859,80962708,0.0000,1.0
2023-01-04,126.89,128.6557,125.08,126.36,126.167836551177,89113633,0.0000,1.0
2023-01-03,130.28,130.9,124.17,125.07,124.879798333774,112117471,0.0000,1.0
2022-12-30,128.41,129.95,127.43,129.93,129.732407431896,77034209,0.0000,1.0
2022-12-29,127.99,130.4814,127.73,129.61,129.412894075641,75703710,0.0000,1.0
2022-12-28,129.67,131.0275,125.87,126.04,125.848323194922,85438391,0.0000,1.0
2022-12-27,131.38,131.41,128.72,130.03,129.832255355726,69007830,0.0000,1.0
2022-12-23,130.92,132.415,129.64,131.86,131.659472361809,63814893,0.0000,1.0
2022-12-22,134.352,134.56,130.3,132.23,132.028909679979,77852108,0.0000,1.0
2022-12-21,132.98,136.81,132.75,135.45,135.244012827294,85927993,0.0000,1.0
2022-12-20,131.39,133.25,129.89,132.3,132.09880322666,77432819,0.0000,1.0
2022-12-19,135.11,135.2,131.32,132.37,132.16869677334,79592614,0.0000,1.0
2022-12-16,136.685,137.65,133.73,134.51,134.305442343295,160156900,0.0000,1.0
2022-12-15,141.11,141.8,136.025,136.5,136.292416027506,98931907,0.0000,1.0
2022-12-14,145.35,146.655,141.16,143.21,142.992211716477,82291182,0.0000,1.0
2022-12-13,149.5,149.9692,144.24,145.47,145.248774795028,93886161,0.0000,1.0
2022-12-12,142.7,144.5,141.06,144.49,144.270265141497,70462654,0.0000,1.0
2022-12-09,142.34,145.57,140.9,142.16,141.943808516266,76097011,0.0000,1.0
2022-12-08,142.36,143.52,141.1,142.65,142.433063343031,62128338,0.0000,1.0
